serialno,symbol,type,exchange,primaryexchange,currency,expiry,option,right,contractID,additionalInput,longvolume,shortvolume,aggression,minsize,bars,trailstop
1,NIFTY50,FUT,NSE,,INR,201309,,,,2000,10,-500000,0,100,Y,0.05
2,INFY,FUT,NSE,,INR,201309,,,,2000,10,-500000,0,125,Y,0.05
3,ABIRLANUV,FUT,NSE,,INR,201309,,,,2000,10,-500000,0,250,Y,0.05
4,ACC,FUT,NSE,,INR,201309,,,,2000,10,-500000,0,250,Y,0.05
5,ADANIENT,FUT,NSE,,INR,201309,,,,2000,10,-500000,0,1000,Y,0.05
6,ADANIPORT,FUT,NSE,,INR,201309,,,,2000,10,-500000,0,2000,Y,0.05
7,ADANIPOWE,FUT,NSE,,INR,201309,,,,2000,10,-500000,0,8000,Y,0.05
8,ALBK,FUT,NSE,,INR,201309,,,,2000,10,-500000,0,2000,Y,0.05
9,AMBUJACEM,FUT,NSE,,INR,201309,,,,2000,10,-500000,0,2000,Y,0.05
10,ANDHRABAN,FUT,NSE,,INR,201309,,,,2000,10,-500000,0,4000,Y,0.05
11,APOLLOTYR,FUT,NSE,,INR,201309,,,,2000,10,-500000,0,4000,Y,0.05
12,ARVIND,FUT,NSE,,INR,201309,,,,2000,10,-500000,0,4000,Y,0.05
13,ASHOKLEY,FUT,NSE,,INR,201309,,,,2000,10,-500000,0,9000,Y,0.05
14,ASIANPAIN,FUT,NSE,,INR,201309,,,,2000,10,-500000,0,125,Y,0.05
15,AUROPHARM,FUT,NSE,,INR,201309,,,,2000,10,-500000,0,2000,Y,0.05
16,AXISBANK,FUT,NSE,,INR,201309,,,,2000,10,-500000,0,250,Y,0.05
17,BAJAJ-AUT,FUT,NSE,,INR,201309,,,,2000,10,-500000,0,125,Y,0.05
18,BANKBAROD,FUT,NSE,,INR,201309,,,,2000,10,-500000,0,500,Y,0.05
19,BANKINDIA,FUT,NSE,,INR,201309,,,,2000,10,-500000,0,1000,Y,0.05
20,BATAINDIA,FUT,NSE,,INR,201309,,,,2000,10,-500000,0,500,Y,0.05
21,BHARATFOR,FUT,NSE,,INR,201309,,,,2000,10,-500000,0,1000,Y,0.05
22,BHARTIART,FUT,NSE,,INR,201309,,,,2000,10,-500000,0,1000,Y,0.05
